Grupo,test,Output
GrupoA,w22,"line 4: syntax error, unexpected TOKEN_ERRO"
GrupoB,w55,Segmentation fault
GrupoC,w68,"line 3 - syntax error, unexpected TK_LIT_INT"
GrupoG,w00,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w01,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w02,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w03,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w04,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w05,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w06,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w07,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w08,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w09,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w10,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w11,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w12,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w13,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w14,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w15,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w16,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w17,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w18,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w19,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w20,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w21,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w22,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w23,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w24,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w25,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w26,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w27,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w28,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w29,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w30,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w31,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w32,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w33,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w34,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w35,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w36,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w37,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w38,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w39,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w40,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w41,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w42,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w43,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w44,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w45,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w46,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w47,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w48,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w49,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w50,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w51,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w52,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w53,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w54,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w55,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w56,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w57,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w58,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w59,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w60,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w61,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w62,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w63,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w64,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w65,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w66,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w67,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w68,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w69,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w70,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w71,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w72,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w73,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w74,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w75,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w76,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w77,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoG,w78,timeout: failed to run command ‘./etapa3’: No such file or directory
GrupoI,w30,"[3]: syntax error, unexpected TOKEN_ERRO"
GrupoI,w41,"[4]: syntax error, unexpected TOKEN_ERRO"
GrupoN,w17,error in line 6: syntax error
GrupoN,w18,error in line 7: syntax error
GrupoN,w19,error in line 8: syntax error
GrupoN,w20,error in line 9: syntax error
GrupoN,w21,error in line 6: syntax error
GrupoN,w22,error in line 5: syntax error
GrupoN,w23,error in line 8: syntax error
GrupoN,w24,error in line 8: syntax error
GrupoN,w25,error in line 9: syntax error
GrupoN,w26,error in line 6: syntax error
GrupoN,w27,error in line 5: syntax error
GrupoN,w28,error in line 3: syntax error
GrupoN,w29,error in line 3: syntax error
GrupoN,w54,error in line 5: syntax error
GrupoN,w55,error in line 5: syntax error
GrupoN,w63,Double free detected
GrupoN,w68,error in line 3: syntax error
GrupoN,w69,error in line 3: syntax error
GrupoN,w75,error in line 3: syntax error
GrupoN,w77,error in line 3: syntax error
GrupoN,w78,error in line 3: syntax error
GrupoT,w01,Double free detected
GrupoT,w02,Double free detected
GrupoT,w03,Double free detected
GrupoT,w04,Double free detected
GrupoT,w05,Double free detected
GrupoT,w06,Double free detected
GrupoT,w07,Double free detected
GrupoT,w08,Double free detected
GrupoT,w09,Double free detected
GrupoT,w10,Double free detected
GrupoT,w11,Double free detected
GrupoT,w12,Double free detected
GrupoT,w13,Double free detected
GrupoT,w14,Double free detected
GrupoT,w15,Double free detected
GrupoT,w16,Double free detected
GrupoT,w17,Double free detected
GrupoT,w18,Double free detected
GrupoT,w19,Double free detected
GrupoT,w20,Double free detected
GrupoT,w21,Double free detected
GrupoT,w22,Double free detected
GrupoT,w23,Double free detected
GrupoT,w24,Double free detected
GrupoT,w25,Double free detected
GrupoT,w26,Double free detected
GrupoT,w27,Double free detected
GrupoT,w28,Double free detected
GrupoT,w29,Double free detected
GrupoT,w30,Double free detected
GrupoT,w31,Double free detected
GrupoT,w32,Double free detected
GrupoT,w33,Double free detected
GrupoT,w34,Double free detected
GrupoT,w35,Double free detected
GrupoT,w36,Double free detected
GrupoT,w37,Double free detected
GrupoT,w38,Double free detected
GrupoT,w39,Double free detected
GrupoT,w40,Double free detected
GrupoT,w41,Double free detected
GrupoT,w42,Double free detected
GrupoT,w43,Double free detected
GrupoT,w44,Double free detected
GrupoT,w45,Double free detected
GrupoT,w46,Double free detected
GrupoT,w47,Double free detected
GrupoT,w48,Double free detected
GrupoT,w49,Double free detected
GrupoT,w50,Double free detected
GrupoT,w51,Double free detected
GrupoT,w52,Double free detected
GrupoT,w53,Double free detected
GrupoT,w54,Double free detected
GrupoT,w55,Double free detected
GrupoT,w56,Double free detected
GrupoT,w57,Double free detected
GrupoT,w58,Double free detected
