Grupo,test,TCNO,VG,Decision
GrupoA,w00,0,0,TRUE
GrupoA,w01,0,0,TRUE
GrupoA,w02,0,0,TRUE
GrupoA,w03,0,0,TRUE
GrupoA,w04,0,0,TRUE
GrupoA,w05,0,0,TRUE
GrupoA,w06,0,0,TRUE
GrupoA,w07,0,0,TRUE
GrupoA,w08,0,0,TRUE
GrupoA,w09,0,0,TRUE
GrupoA,w10,1,0,FALSE
GrupoA,w11,1,0,FALSE
GrupoA,w12,1,0,FALSE
GrupoA,w13,1,0,FALSE
GrupoA,w14,0,0,TRUE
GrupoA,w15,0,0,TRUE
GrupoA,w16,0,0,TRUE
GrupoA,w17,0,0,TRUE
GrupoA,w18,0,0,TRUE
GrupoA,w19,0,0,TRUE
GrupoA,w20,0,0,TRUE
GrupoA,w21,0,0,TRUE
GrupoA,w22,1,-1,FALSE
GrupoA,w23,0,0,TRUE
GrupoA,w24,0,0,TRUE
GrupoA,w25,0,0,TRUE
GrupoA,w26,0,0,TRUE
GrupoA,w27,0,0,TRUE
GrupoA,w28,0,0,TRUE
GrupoA,w29,0,0,TRUE
GrupoA,w30,0,0,TRUE
GrupoA,w31,0,0,TRUE
GrupoA,w32,0,0,TRUE
GrupoA,w33,0,0,TRUE
GrupoA,w34,0,0,TRUE
GrupoA,w35,0,0,TRUE
GrupoA,w36,0,0,TRUE
GrupoA,w37,1,0,FALSE
GrupoA,w38,0,0,TRUE
GrupoA,w39,1,0,FALSE
GrupoA,w40,0,0,TRUE
GrupoA,w41,0,0,TRUE
GrupoA,w42,0,0,TRUE
GrupoA,w43,0,0,TRUE
GrupoA,w44,0,0,TRUE
GrupoA,w45,0,0,TRUE
GrupoA,w46,0,0,TRUE
GrupoA,w47,0,0,TRUE
GrupoA,w48,0,0,TRUE
GrupoA,w49,0,0,TRUE
GrupoA,w50,0,0,TRUE
GrupoA,w51,0,0,TRUE
GrupoA,w52,0,0,TRUE
GrupoA,w53,0,0,TRUE
GrupoA,w54,0,0,TRUE
GrupoA,w55,0,0,TRUE
GrupoA,w56,0,0,TRUE
GrupoA,w57,0,0,TRUE
GrupoA,w58,0,0,TRUE
GrupoA,w59,0,0,TRUE
GrupoA,w60,0,0,TRUE
GrupoA,w61,0,0,TRUE
GrupoA,w62,0,0,TRUE
GrupoA,w63,1,0,FALSE
GrupoA,w64,0,0,TRUE
GrupoA,w65,1,0,FALSE
GrupoA,w66,0,0,TRUE
GrupoA,w67,1,0,FALSE
GrupoA,w68,0,0,TRUE
GrupoA,w69,0,0,TRUE
GrupoA,w70,0,0,TRUE
GrupoA,w71,0,0,TRUE
GrupoA,w72,1,0,FALSE
GrupoA,w73,0,0,TRUE
GrupoA,w74,0,0,TRUE
GrupoA,w75,0,0,TRUE
GrupoA,w76,0,0,TRUE
GrupoA,w77,0,0,TRUE
GrupoA,w78,1,0,FALSE
GrupoB,w00,0,0,TRUE
GrupoB,w01,1,120,FALSE
GrupoB,w02,1,146,FALSE
GrupoB,w03,1,254,FALSE
GrupoB,w04,1,280,FALSE
GrupoB,w05,0,18,FALSE
GrupoB,w06,0,179,FALSE
GrupoB,w07,0,24,FALSE
GrupoB,w08,1,114,FALSE
GrupoB,w09,1,380,FALSE
GrupoB,w10,1,330,FALSE
GrupoB,w11,1,307,FALSE
GrupoB,w12,1,330,FALSE
GrupoB,w13,1,307,FALSE
GrupoB,w14,0,21,FALSE
GrupoB,w15,0,16,FALSE
GrupoB,w16,0,22,FALSE
GrupoB,w17,0,34,FALSE
GrupoB,w18,1,78,FALSE
GrupoB,w19,1,54,FALSE
GrupoB,w20,1,98,FALSE
GrupoB,w21,1,92,FALSE
GrupoB,w22,0,34,FALSE
GrupoB,w23,1,166,FALSE
GrupoB,w24,1,82,FALSE
GrupoB,w25,1,142,FALSE
GrupoB,w26,1,176,FALSE
GrupoB,w27,1,118,FALSE
GrupoB,w28,0,18,FALSE
GrupoB,w29,0,8,FALSE
GrupoB,w30,1,30,FALSE
GrupoB,w31,0,28,FALSE
GrupoB,w32,0,36,FALSE
GrupoB,w33,0,185,FALSE
GrupoB,w34,0,185,FALSE
GrupoB,w35,0,48,FALSE
GrupoB,w36,0,48,FALSE
GrupoB,w37,0,48,FALSE
GrupoB,w38,0,48,FALSE
GrupoB,w39,0,72,FALSE
GrupoB,w40,0,28,FALSE
GrupoB,w41,0,28,FALSE
GrupoB,w42,0,28,FALSE
GrupoB,w43,0,28,FALSE
GrupoB,w44,0,28,FALSE
GrupoB,w45,0,28,FALSE
GrupoB,w46,0,36,FALSE
GrupoB,w47,0,36,FALSE
GrupoB,w48,0,36,FALSE
GrupoB,w49,0,36,FALSE
GrupoB,w50,0,76,FALSE
GrupoB,w51,0,76,FALSE
GrupoB,w52,0,76,FALSE
GrupoB,w53,0,76,FALSE
GrupoB,w54,0,36,FALSE
GrupoB,w55,139,-1,FALSE
GrupoB,w56,0,76,FALSE
GrupoB,w57,0,76,FALSE
GrupoB,w58,0,34,FALSE
GrupoB,w59,0,34,FALSE
GrupoB,w60,0,34,FALSE
GrupoB,w61,0,48,FALSE
GrupoB,w62,0,48,FALSE
GrupoB,w63,1,297,FALSE
GrupoB,w64,1,280,FALSE
GrupoB,w65,1,276,FALSE
GrupoB,w66,1,272,FALSE
GrupoB,w67,1,276,FALSE
GrupoB,w68,1,260,FALSE
GrupoB,w69,0,4,FALSE
GrupoB,w70,1,559,FALSE
GrupoB,w71,1,235,FALSE
GrupoB,w72,0,50,FALSE
GrupoB,w73,0,48,FALSE
GrupoB,w74,0,253,FALSE
GrupoB,w75,1,157,FALSE
GrupoB,w76,0,334,FALSE
GrupoB,w77,0,69,FALSE
GrupoB,w78,0,77,FALSE
GrupoC,w00,0,0,TRUE
GrupoC,w01,0,0,TRUE
GrupoC,w02,0,0,TRUE
GrupoC,w03,0,0,TRUE
GrupoC,w04,0,0,TRUE
GrupoC,w05,0,0,TRUE
GrupoC,w06,0,0,TRUE
GrupoC,w07,0,0,TRUE
GrupoC,w08,0,0,TRUE
GrupoC,w09,0,0,TRUE
GrupoC,w10,0,0,TRUE
GrupoC,w11,0,0,TRUE
GrupoC,w12,0,0,TRUE
GrupoC,w13,0,0,TRUE
GrupoC,w14,0,0,TRUE
GrupoC,w15,0,0,TRUE
GrupoC,w16,0,0,TRUE
GrupoC,w17,0,0,TRUE
GrupoC,w18,0,0,TRUE
GrupoC,w19,0,0,TRUE
GrupoC,w20,0,0,TRUE
GrupoC,w21,0,0,TRUE
GrupoC,w22,0,0,TRUE
GrupoC,w23,0,0,TRUE
GrupoC,w24,0,0,TRUE
GrupoC,w25,0,0,TRUE
GrupoC,w26,0,0,TRUE
GrupoC,w27,0,0,TRUE
GrupoC,w28,0,0,TRUE
GrupoC,w29,0,0,TRUE
GrupoC,w30,0,0,TRUE
GrupoC,w31,0,0,TRUE
GrupoC,w32,0,0,TRUE
GrupoC,w33,0,0,TRUE
GrupoC,w34,0,0,TRUE
GrupoC,w35,0,0,TRUE
GrupoC,w36,0,0,TRUE
GrupoC,w37,0,0,TRUE
GrupoC,w38,0,0,TRUE
GrupoC,w39,0,0,TRUE
GrupoC,w40,0,0,TRUE
GrupoC,w41,0,0,TRUE
GrupoC,w42,0,0,TRUE
GrupoC,w43,0,0,TRUE
GrupoC,w44,0,0,TRUE
GrupoC,w45,0,0,TRUE
GrupoC,w46,0,0,TRUE
GrupoC,w47,0,0,TRUE
GrupoC,w48,0,0,TRUE
GrupoC,w49,0,0,TRUE
GrupoC,w50,0,0,TRUE
GrupoC,w51,0,0,TRUE
GrupoC,w52,0,0,TRUE
GrupoC,w53,0,0,TRUE
GrupoC,w54,0,0,TRUE
GrupoC,w55,0,0,TRUE
GrupoC,w56,0,0,TRUE
GrupoC,w57,0,0,TRUE
GrupoC,w58,0,0,TRUE
GrupoC,w59,0,0,TRUE
GrupoC,w60,0,0,TRUE
GrupoC,w61,0,0,TRUE
GrupoC,w62,0,0,TRUE
GrupoC,w63,0,0,TRUE
GrupoC,w64,0,0,TRUE
GrupoC,w65,0,0,TRUE
GrupoC,w66,0,0,TRUE
GrupoC,w67,0,0,TRUE
GrupoC,w68,1,-1,FALSE
GrupoC,w69,0,0,TRUE
GrupoC,w70,0,0,TRUE
GrupoC,w71,0,0,TRUE
GrupoC,w72,0,0,TRUE
GrupoC,w73,0,0,TRUE
GrupoC,w74,0,0,TRUE
GrupoC,w75,0,0,TRUE
GrupoC,w76,0,0,TRUE
GrupoC,w77,0,0,TRUE
GrupoC,w78,0,0,TRUE
GrupoD,w00,0,0,TRUE
GrupoD,w01,1,76,FALSE
GrupoD,w02,1,1563,FALSE
GrupoD,w03,1,697,FALSE
GrupoD,w04,1,27,FALSE
GrupoD,w05,1,362,FALSE
GrupoD,w06,1,55,FALSE
GrupoD,w07,1,232,FALSE
GrupoD,w08,1,233,FALSE
GrupoD,w09,1,1897,FALSE
GrupoD,w10,1,36,FALSE
GrupoD,w11,1,54,FALSE
GrupoD,w12,1,36,FALSE
GrupoD,w13,1,54,FALSE
GrupoD,w14,1,22,FALSE
GrupoD,w15,1,22,FALSE
GrupoD,w16,1,22,FALSE
GrupoD,w17,1,655,FALSE
GrupoD,w18,1,1057,FALSE
GrupoD,w19,1,1063,FALSE
GrupoD,w20,1,1465,FALSE
GrupoD,w21,1,1846,FALSE
GrupoD,w22,1,648,FALSE
GrupoD,w23,1,1865,FALSE
GrupoD,w24,1,1065,FALSE
GrupoD,w25,1,1871,FALSE
GrupoD,w26,1,2646,FALSE
GrupoD,w27,1,1448,FALSE
GrupoD,w28,1,374,FALSE
GrupoD,w29,0,38,FALSE
GrupoD,w30,1,763,FALSE
GrupoD,w31,1,506,FALSE
GrupoD,w32,1,646,FALSE
GrupoD,w33,1,652,FALSE
GrupoD,w34,1,652,FALSE
GrupoD,w35,1,920,FALSE
GrupoD,w36,1,920,FALSE
GrupoD,w37,1,920,FALSE
